Славка;Slawka
день;dzień
добрий;dobry
сонце;słońce
брат;brat
мета;cel
дом;dom
крісло;fotel
газета;gazeta
чай;herbata
інститут;instytut
яйце;jajko
кава;kawa
лялька;lalka
але;ale
легкий;łatwy
мати;mama
мати;matka
син;syn
дочка;córka
дружина;żona
ніч;noc
кінь;koń
вікно;okno
парк;park
риба;ryba
важко;trudny
вулиця;ulica
вода;woda
лимон;cytryna
годинник;zegarek
погано;źle
час;czas
гардероб;szafa
шия;szyja
річка;rzeka
хліб;chleb
дерево;drzewo
двері;drzwi
може бути;może
може;może
море;morze
жарт;żart
готель;hotel
вухо;ucho
гора;góra
горілка;wódka
зуб;ząb
зуби;zęby
мука;mąka
рука;ręka
вчитись;uczyć się
бути;być
дієвідміна;koniugacja
читати;czytać
лампа;lampa
стілець;krzesło
жінка;kobieta
чоловік;mężczyzna
художник;artysta
стіл;stół
кіно;kino
дитина;dziecko
комп'ютер;komputer
телефон;telefon
komórka;мобілка
книга;książka
призвище;nazwisko
ім'я;imię
автомобіль;samochód
фотограія;zdjęcie
радіо;radio
кулькова ручка;długopis
чашка;filiżanka
кружка;kubek
автобус;autobus
окуляри;okulary
іменник;rzeczownik
колега;kolega
піаніст;pianista
програміст;programista
поет;poeta
турист;turysta
любов;miłość
кров;krew
дружба;przyjaźń
квартира;mieszkanie
музей;muzeum
центр;centrum
тварина;zwierzę
прикметник;przymiotnik
який;jaki
яка;jaka
яке;jakie
красивий;piękny
красива;piękna
красиву;piękne
високий;wysoki
висока;wysoka
високе;wysokie
чий;czyj
чия;czyja
чиє;czyje
мій;mój
моя;moja
моє;moje
твій;twój
твоя;twoja
твоє;twoje
його;jego
її;jej
наш;nasz
наша;nasza
наше;nasze
ваш;wasz
ваша;wasza
ваше;wasze
їх;ich
котрий;który
котра;która
котре;które
сьогодні;dziś
завтра;jutro
післязавтра;pojutrze
