Славка;Slawka
день;dzień
добрий;dobry
сонце;słońce
брат;brat
мета;cel
дом;dom
крісло;fotel
газета;gazeta
чай;herbata
інститут;instytut
яйце;jajko
кава;kawa
лялька;lalka
але;ale
легкий;łatwy
мати;mama
мати;matka
син;syn
дочка;córka
дружина;żona
ніч;noc
кінь;koń
вікно;okno
парк;park
риба;ryba
важко;trudny
вулиця;ulica
вода;woda
лимон;cytryna
годинник;zegarek
погано;źle
час;czas
гардероб;szafa
шия;szyja
річка;rzeka
хліб;chleb
дерево;drzewo
двері;drzwi
може бути;może
може;może
море;morze
жарт;żart
готель;hotel
вухо;ucho
гора;góra
горілка;wódka
зуб;ząb
зуби;zęby
мука;mąka
рука;ręka
вчитись;uczyć się
бути;być
дієвідміна;koniugacja
читати;czytać
лампа;lampa
стілець;krzesło
жінка;kobieta
чоловік;mężczyzna
художник;artysta
стіл;stół
кіно;kino
дитина;dziecko
комп'ютер;komputer
телефон;telefon
мобілка;komórka
книга;książka
призвище;nazwisko
ім'я;imię
автомобіль;samochód
фотограія;zdjęcie
радіо;radio
кулькова ручка;długopis
чашка;filiżanka
кружка;kubek
автобус;autobus
окуляри;okulary
іменник;rzeczownik
колега;kolega
піаніст;pianista
програміст;programista
поет;poeta
турист;turysta
любов;miłość
кров;krew
дружба;przyjaźń
квартира;mieszkanie
музей;muzeum
центр;centrum
тварина;zwierzę
прикметник;przymiotnik
який;jaki
яка;jaka
яке;jakie
красивий;piękny
красива;piękna
красиву;piękne
високий;wysoki
висока;wysoka
високе;wysokie
чий;czyj
чия;czyja
чиє;czyje
мій;mój
моя;moja
моє;moje
твій;twój
твоя;twoja
твоє;twoje
його;jego
її;jej
наш;nasz
наша;nasza
наше;nasze
ваш;wasz
ваша;wasza
ваше;wasze
їх;ich
котрий;który
котра;która
котре;które
сьогодні;dziś
завтра;jutro
післязавтра;pojutrze
розуміти;zrozumieć
звідки;skąd
інтенсивний;intensywny
курс;kurs
дуже;bardzo
адреса;adres
чому;dlaczego
дівчина;dziewczyna
хотіти;chcieć
інфінітив;bezokolicznik
як ти;co u ciebie
туалет;toaleta
грати;grać
що;żeby
звичайно;oczywiście
зазвичай;normalnie
зошит;zeszyt
дошка;tablica
олівець;ołówek
гумка;gumka
ключ;klucz
компакт диск;płyta cd
сумка;torba
знаменник;mianownik
червоний;czerwony
синій;niebieski
зелений;zielony
фіолетовий;fioletowy
чорний;czarny
коричневий;brązowy
жовтий;żółty
рожевий;różowy
сірий;szary
білий;biały
помаранчевий;pomarańczowy
збиратись;wybierać się
запрошувати;zapraszać
летіти;lecieć
лежати;leżeć
просити;prosić
думати;myśleć
любити;lubić
виїжджати;wyjeżdżać
вчитись;uczyć się
ходити;chodzić
чистити;czyścić
повторювати;powtarzać
повторити;powtórzyć
дякувати;dziękować
допомога;pomoc
працювати;pracować
передати вітання;pozdrowić
говорити;mówić
проводити час;spędzać
турбувати;przeszkadzać
називатись;nazywać się
думати;zastanawiać się
наближатись;zbliżać się
поїхати;pojechać
знати;znać
починатись;zaczynać się
купити;kupić
канікули;wakacje
тиждень;tydzień
квиток;bilet
питання;pytanie
медаль;medal
чоловік;mąż
студент;student
студентка;studentka
учень;uczeń
учениця;uczennica
біль;ból
тільки;dopiero
куди;dokąd
коли;kiedy
сьогодні;dziś
сьогодні;dzisiaj
іспит;egzamin
екзамен;egzamin
ще;jeszcze
вже;już
література;literatura
палатка;namiot
довгий;długi
молодий;młody
власний;własny
останній;ostatni
з учорашнього дня;od wczoraj
адже;przecież
рік;rok
відпустка;urlop
варто;warto
вітрильне судно;żaglówka
диктант;dyktando
викладач;wykładowca
лектор;lektor
збори;zebranie
стаття;artykuł
номер;numer
писати;pisać
письмовий;pisemny
перекладати;tłumaczyć
перекласти;przetłumaczyć
переклад;tłumaczenie
разом;razem
ремонт;remont
робити;robić
перевіряти;sprawdzać
свіжий;świeży
автомобіль;auto
автор;autor
щоденно;codziennie
частіше;częściej
газета;dziennik
європейський;europejski
інший;inny
клас;klasa
віддати;oddać
этаж;piętro
варшавский;warszawski
жіночий;żeński
тоді;wtedy
година;godzina
хвилина;minuta
щоб;żeby
комунікація;komunikacja
трохи; trochę
думати;myśleć
радіти; cieszyć się
бути правим; mieć rację
жарт;żart
цікавий;ciekawy
мабуть;chyba
закінчити;kończyć
високий;wysoki
брудний;brudny
працьовитий;pracowity
великий;gruby
сумний;smutny
молодий; młody
бридкий;brzydky
хворий;chory
лінивий;leniwy
щуплий;szczupły
низький;nisky
гарний;pszystojny
веселий;wesoły
гарна;ładna
втомлений;zmęczony
спортивний;wysportowany
молодий;młody
здоровий;zdrowy
чистий;chysty
агресивний;agresywny
активний;aktywny
амбіційний;ambitny
привабливий; atrakcyjny
енергійний;energiczny
розумний;inteligentny
романтичний;romantyczny
невдалий; sfrustrowany
спонтанний;spontaniczny
талановитий; utalentowany
наголошений; zestresowany
креативний;kreatywny
високий;wysoki
добрий; ładny
малий;mały
